LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
1,2024-01-01 06:30:00,0.0,1016.5444444444444,17.5,86.77777777777777,50.093333333333334,0.02
1,2024-01-01 06:40:00,0.0,1016.5889999999999,17.490000000000002,86.8,163.25,0.16
1,2024-01-01 06:50:00,0.0,1016.6600000000001,17.5,86.95,326.834,0.46
1,2024-01-01 07:00:00,0.0,1016.7299999999999,17.5,86.99,470.834,0.8300000000000001
1,2024-01-01 07:10:00,0.0,1016.774,17.57,86.97,659.667,1.3900000000000001
1,2024-01-01 07:20:00,0.6819300399999999,1016.9219999999999,17.630000000000003,86.17999999999999,889.6659999999999,2.47
1,2024-01-01 07:30:00,0.6073700000000001,1016.992,17.740000000000002,85.41,1263.833,4.47
1,2024-01-01 07:40:00,0.0,1017.094,17.9,85.41,2136.833,11.290000000000001
1,2024-01-01 07:50:00,0.0,1017.2700000000001,18.130000000000003,85.19,2598.001,15.969999999999999
1,2024-01-01 08:00:00,0.0,1017.4190000000001,18.29,84.38000000000001,2160.166,11.8
1,2024-01-01 08:10:00,0.0,1017.4399999999999,18.3,83.78999999999999,2424.666,14.4
1,2024-01-01 08:20:00,0.0,1017.55,18.28,84.88,3204.5,23.69
1,2024-01-01 08:30:00,1.8334899999999998,1017.643,18.23,85.92,4376.418,41.83
1,2024-01-01 08:40:00,0.38300999999999996,1017.747,18.48,85.47999999999999,6681.334,97.65
1,2024-01-01 08:50:00,1.42532,1017.9119999999999,18.77,87.74,6693.834,118.59
1,2024-01-02 06:20:00,0.0,1014.5114285714286,12.614285714285714,100.0,100.23714285714286,0.11
1,2024-01-02 06:30:00,0.0,1014.543,12.7,100.0,419.91700000000003,0.9
1,2024-01-02 06:40:00,0.0,1014.552,12.62,100.0,1164.334,4.75
1,2024-01-02 06:50:00,0.0,1014.6,12.65,100.0,2250.335,16.84
1,2024-01-02 07:00:00,0.0,1014.6510000000001,12.99,100.0,4352.5830000000005,82.96000000000001
1,2024-01-02 07:10:00,0.06599999999999999,1014.8100000000001,14.440000000000001,100.0,8052.6669999999995,359.9
1,2024-01-02 07:20:00,0.39,1014.8520000000001,15.55,100.0,8764.0,289.05
1,2024-01-02 07:30:00,0.11399999999999999,1014.924,16.240000000000002,100.0,15173.168,1014.49
1,2024-01-02 07:40:00,0.06,1014.984,18.97,100.0,25676.25,2650.23
1,2024-01-02 07:50:00,0.11399999999999999,1014.905,22.21,90.75,32754.749,3869.62
1,2024-01-02 08:00:00,0.294,1014.863,24.48,71.4,39953.71000000001,5136.64
1,2024-01-02 08:10:00,0.421,1014.8700000000001,25.97,63.989999999999995,46366.742,6354.95
1,2024-01-02 08:20:00,0.31799999999999995,1014.808,27.1,59.17,52176.036,7678.45
1,2024-01-02 08:30:00,0.72,1014.7969999999999,27.78,55.52,57116.18199999999,9084.3
1,2024-01-02 08:40:00,0.984,1014.801,28.2,52.96,60843.081999999995,10061.470000000001
1,2024-01-02 08:50:00,0.10200000000000001,1014.847,29.01,52.95,66731.44399999999,11640.27
1,2024-01-03 06:20:00,0.42874999999999996,1011.1075,14.325000000000001,100.0,54.89375,0.02
1,2024-01-03 06:30:00,0.252,1011.316,14.569999999999999,100.0,181.669,0.25
1,2024-01-03 06:40:00,0.10800000000000001,1011.466,14.85,100.0,488.66700000000003,1.0
1,2024-01-03 06:50:00,0.366,1011.595,15.16,100.0,925.5,2.96
1,2024-01-03 07:00:00,0.708,1011.7940000000001,15.440000000000001,100.0,1389.4180000000001,5.57
1,2024-01-03 07:10:00,1.702,1011.841,15.65,100.0,2028.334,11.52
1,2024-01-03 07:20:00,1.098,1011.93,15.86,100.0,2586.082,17.77
1,2024-01-03 07:30:00,1.058,1011.9630000000001,16.169999999999998,100.0,3726.583,35.800000000000004
1,2024-01-03 07:40:00,0.709,1012.048,16.48,100.0,5264.8330000000005,66.26
1,2024-01-03 07:50:00,0.378,1012.189,16.9,100.0,6447.668,98.96
1,2024-01-03 08:00:00,0.42000000000000004,1012.3340000000001,17.52,100.0,9641.75,218.01999999999998
1,2024-01-03 08:10:00,0.198,1012.418,18.380000000000003,100.0,13379.001,409.3
1,2024-01-03 08:20:00,0.764,1012.557,19.48,100.0,13697.582999999999,457.3
1,2024-01-03 08:30:00,0.27599999999999997,1012.549,20.29,98.06,16763.25,645.53
1,2024-01-03 08:40:00,0.072,1012.5649999999999,20.990000000000002,92.8,19599.417999999998,871.48
1,2024-01-03 08:50:00,0.156,1012.637,22.330000000000002,85.58,24937.166999999998,1404.4
1,2024-01-04 06:20:00,3.2754833333333333,1015.9783333333334,14.300000000000002,100.0,49.721666666666664,0.02
1,2024-01-04 06:30:00,3.25987997,1015.985,14.3,100.0,176.834,0.24
1,2024-01-04 06:40:00,3.29118002,1016.01,14.3,100.0,486.75100000000003,0.8200000000000001
1,2024-01-04 06:50:00,3.2429699800000003,1016.0629999999999,14.36,100.0,976.667,2.85
1,2024-01-04 07:00:00,3.28607003,1016.1780000000001,14.52,100.0,1571.999,6.73
1,2024-01-04 07:10:00,3.42767002,1016.2629999999999,14.73,100.0,2356.584,14.24
1,2024-01-04 07:20:00,3.4792599699999998,1016.393,14.98,100.0,3137.917,24.49
