LocationCode,DateTime,Power(mW)
1,2024-01-01 09:00:00,173.68
1,2024-01-01 09:10:00,126.12
1,2024-01-01 09:20:00,88.07
1,2024-01-01 09:30:00,175.64
1,2024-01-01 09:40:00,75.08
1,2024-01-01 09:50:00,70.32000000000001
1,2024-01-01 10:00:00,197.09
1,2024-01-01 10:10:00,203.45999999999998
1,2024-01-01 10:20:00,204.35
1,2024-01-01 10:30:00,140.07
1,2024-01-01 10:40:00,93.33
1,2024-01-01 10:50:00,135.32999999999998
1,2024-01-01 11:00:00,131.97
1,2024-01-01 11:10:00,94.74
1,2024-01-01 11:20:00,102.62
1,2024-01-01 11:30:00,158.75
1,2024-01-01 11:40:00,228.22
1,2024-01-01 11:50:00,205.07999999999998
1,2024-01-01 12:00:00,270.51
1,2024-01-01 12:10:00,182.17
1,2024-01-01 12:20:00,204.56
1,2024-01-01 12:30:00,556.07
1,2024-01-01 12:40:00,376.49
1,2024-01-01 12:50:00,232.33
1,2024-01-01 13:00:00,136.57
1,2024-01-01 13:10:00,86.42
1,2024-01-01 13:20:00,85.11
1,2024-01-01 13:30:00,68.31
1,2024-01-01 13:40:00,43.04
1,2024-01-01 13:50:00,23.69
1,2024-01-01 14:00:00,21.509999999999998
1,2024-01-01 14:10:00,30.25
1,2024-01-01 14:20:00,43.0
1,2024-01-01 14:30:00,42.95
1,2024-01-01 14:40:00,46.48
1,2024-01-01 14:50:00,50.28
1,2024-01-01 15:00:00,29.79
1,2024-01-01 15:10:00,24.46
1,2024-01-01 15:20:00,14.93
1,2024-01-01 15:30:00,13.3
1,2024-01-01 15:40:00,15.21
1,2024-01-01 15:50:00,14.65
1,2024-01-01 16:00:00,8.61
1,2024-01-01 16:10:00,3.58
1,2024-01-01 16:20:00,2.8600000000000003
1,2024-01-01 16:30:00,2.13
1,2024-01-01 16:40:00,1.52
1,2024-01-01 16:50:00,0.61
1,2024-01-02 09:00:00,12775.529999999999
1,2024-01-02 09:10:00,13698.03
1,2024-01-02 09:20:00,13164.06
1,2024-01-02 09:30:00,15403.96
1,2024-01-02 09:40:00,15943.01
1,2024-01-02 09:50:00,16311.42
1,2024-01-02 10:00:00,16596.0
1,2024-01-02 10:10:00,16713.059999999998
1,2024-01-02 10:20:00,16743.77
1,2024-01-02 10:30:00,16696.96
1,2024-01-02 10:40:00,16896.93
1,2024-01-02 10:50:00,17085.4
1,2024-01-02 11:00:00,17102.31
1,2024-01-02 11:10:00,17341.95
1,2024-01-02 11:20:00,17271.89
1,2024-01-02 11:30:00,17600.63
1,2024-01-02 11:40:00,17667.14
1,2024-01-02 11:50:00,17289.52
1,2024-01-02 12:00:00,17051.11
1,2024-01-02 12:10:00,17039.88
1,2024-01-02 12:20:00,17331.01
1,2024-01-02 12:30:00,16640.84
1,2024-01-02 12:40:00,17918.61
1,2024-01-02 12:50:00,17917.81
1,2024-01-02 13:00:00,13299.2
1,2024-01-02 13:10:00,4179.71
1,2024-01-02 13:20:00,2913.39
1,2024-01-02 13:30:00,1763.05
1,2024-01-02 13:40:00,1605.7
1,2024-01-02 13:50:00,1229.92
1,2024-01-02 14:00:00,846.22
1,2024-01-02 14:10:00,810.12
1,2024-01-02 14:20:00,564.34
1,2024-01-02 14:30:00,364.18
1,2024-01-02 14:40:00,262.81
1,2024-01-02 14:50:00,221.34
1,2024-01-02 15:00:00,220.22
1,2024-01-02 15:10:00,197.03
1,2024-01-02 15:20:00,159.93
1,2024-01-02 15:30:00,147.99
1,2024-01-02 15:40:00,128.04
1,2024-01-02 15:50:00,98.59
1,2024-01-02 16:00:00,68.94
1,2024-01-02 16:10:00,48.02
1,2024-01-02 16:20:00,39.19
1,2024-01-02 16:30:00,35.05
1,2024-01-02 16:40:00,17.2
1,2024-01-02 16:50:00,5.78
1,2024-01-03 09:00:00,1587.04
1,2024-01-03 09:10:00,10297.210000000001
1,2024-01-03 09:20:00,8823.27
1,2024-01-03 09:30:00,7814.4400000000005
1,2024-01-03 09:40:00,14303.48
1,2024-01-03 09:50:00,10307.53
1,2024-01-03 10:00:00,7212.64
1,2024-01-03 10:10:00,9504.57
1,2024-01-03 10:20:00,11932.61
1,2024-01-03 10:30:00,13708.18
1,2024-01-03 10:40:00,15980.28
1,2024-01-03 10:50:00,5202.61
1,2024-01-03 11:00:00,5337.12
1,2024-01-03 11:10:00,4635.47
1,2024-01-03 11:20:00,2958.4
1,2024-01-03 11:30:00,1491.72
1,2024-01-03 11:40:00,1162.22
1,2024-01-03 11:50:00,707.46
1,2024-01-03 12:00:00,444.22
1,2024-01-03 12:10:00,333.91
1,2024-01-03 12:20:00,279.51
1,2024-01-03 12:30:00,233.57999999999998
1,2024-01-03 12:40:00,192.24
1,2024-01-03 12:50:00,102.17
1,2024-01-03 13:00:00,49.24
1,2024-01-03 13:10:00,58.63
1,2024-01-03 13:20:00,62.82
1,2024-01-03 13:30:00,29.55
1,2024-01-03 13:40:00,44.85
1,2024-01-03 13:50:00,59.29
1,2024-01-03 14:00:00,86.92999999999999
1,2024-01-03 14:10:00,62.97
1,2024-01-03 14:20:00,107.46000000000001
1,2024-01-03 14:30:00,57.25
1,2024-01-03 14:40:00,46.62
1,2024-01-03 14:50:00,40.44
1,2024-01-03 15:00:00,29.26
1,2024-01-03 15:10:00,21.37
1,2024-01-03 15:20:00,10.16
1,2024-01-03 15:30:00,10.03
1,2024-01-03 15:40:00,4.94
1,2024-01-03 15:50:00,5.16
1,2024-01-03 16:00:00,2.64
1,2024-01-03 16:10:00,1.39
1,2024-01-03 16:20:00,0.8500000000000001
1,2024-01-03 16:30:00,0.56
1,2024-01-03 16:40:00,0.3
1,2024-01-03 16:50:00,0.16
1,2024-01-04 09:00:00,256.31
1,2024-01-04 09:10:00,295.31
1,2024-01-04 09:20:00,329.09
1,2024-01-04 09:30:00,341.63
1,2024-01-04 09:40:00,414.19
1,2024-01-04 09:50:00,573.11
1,2024-01-04 10:00:00,769.02
1,2024-01-04 10:10:00,978.33
1,2024-01-04 10:20:00,1179.9
1,2024-01-04 10:30:00,1471.97
1,2024-01-04 10:40:00,1933.3400000000001
1,2024-01-04 10:50:00,2478.36
1,2024-01-04 11:00:00,4250.7
1,2024-01-04 11:10:00,5291.79
1,2024-01-04 11:20:00,6010.82
1,2024-01-04 11:30:00,11094.56
1,2024-01-04 11:40:00,10801.91
1,2024-01-04 11:50:00,10353.81
1,2024-01-04 12:00:00,8216.93
1,2024-01-04 12:10:00,13818.27
1,2024-01-04 12:20:00,5226.98
1,2024-01-04 12:30:00,8878.31
